,source_origin,target_origin,source,target,weight,distance
39141,pittsburgh_pa,gainesville_fl,"Pittsburgh, PA","Gainesville, FL",31.0,754.0
39142,amarillo_tx,nashville_tn,"Amarillo, TX","Nashville, TN",31.0,847.0
39143,santa_ana_ca,everett_wa,"Santa Ana, CA","Everett, WA",32.0,1009.0
39144,state_college_pa,bangor_me,"State College, PA","Bangor, ME",32.0,533.0
39145,grand_forks_nd,brainerd_mn,"Grand Forks, ND","Brainerd, MN",32.0,179.0
39146,gainesville_fl,pittsburgh_pa,"Gainesville, FL","Pittsburgh, PA",32.0,754.0
39147,philadelphia_pa,morgantown_wv,"Philadelphia, PA","Morgantown, WV",32.0,249.0
39148,homer_ak,aniak_ak,"Homer, AK","Aniak, AK",32.0,305.0
39149,madison_wi,chattanooga_tn,"Madison, WI","Chattanooga, TN",32.0,601.0
39150,newport_newswilliamsburg_va,bristoljohnson_citykingsport_tn,"Newport News/Williamsburg, VA","Bristol/Johnson City/Kingsport, TN",32.0,331.0
39151,fort_wayne_in,waco_tx,"Fort Wayne, IN","Waco, TX",32.0,930.0
39152,cheyenne_wy,richmond_va,"Cheyenne, WY","Richmond, VA",32.0,1488.0
39153,greer_sc,north_kingstown_ri,"Greer, SC","North Kingstown, RI",32.0,746.0
39154,jacksonville_fl,augusta_ga,"Jacksonville, FL","Augusta, GA",32.0,199.0
39155,mcgrath_ak,homer_ak,"McGrath, AK","Homer, AK",32.0,267.0
39156,texarkana_ar,west_palm_beachpalm_beach_fl,"Texarkana, AR","West Palm Beach/Palm Beach, FL",32.0,953.0
39157,cedar_rapidsiowa_city_ia,hayden_co,"Cedar Rapids/Iowa City, IA","Hayden, CO",32.0,813.0
39158,bangor_me,state_college_pa,"Bangor, ME","State College, PA",32.0,533.0
39159,springfield_mo,saginawbay_citymidland_mi,"Springfield, MO","Saginaw/Bay City/Midland, MI",32.0,655.0
39160,augusta_ga,jacksonville_fl,"Augusta, GA","Jacksonville, FL",32.0,199.0
39161,charlestondunbar_wv,alexandria_la,"Charleston/Dunbar, WV","Alexandria, LA",32.0,789.0
39162,grand_rapids_mi,ithacacortland_ny,"Grand Rapids, MI","Ithaca/Cortland, NY",32.0,462.0
39163,harrisburg_pa,fargo_nd,"Harrisburg, PA","Fargo, ND",32.0,1104.0
39164,knoxville_tn,springfield_il,"Knoxville, TN","Springfield, IL",32.0,417.0
39165,traverse_city_mi,casper_wy,"Traverse City, MI","Casper, WY",32.0,1048.0
39166,montgomery_al,meridian_ms,"Montgomery, AL","Meridian, MS",32.0,138.0
39167,austin_tx,springfield_il,"Austin, TX","Springfield, IL",32.0,804.0
39168,mayport_fl,baltimore_md,"Mayport, FL","Baltimore, MD",33.0,663.0
39169,ogden_ut,mountain_home_id,"Ogden, UT","Mountain Home, ID",33.0,240.0
39170,greer_sc,madison_wi,"Greer, SC","Madison, WI",33.0,685.0
39171,austin_tx,columbus_oh,"Austin, TX","Columbus, OH",33.0,1074.0
39172,grand_rapids_mi,alexandria_la,"Grand Rapids, MI","Alexandria, LA",33.0,885.0
39173,lexington_ky,harrisburg_pa,"Lexington, KY","Harrisburg, PA",33.0,447.0
39174,walla_walla_wa,boise_id,"Walla Walla, WA","Boise, ID",33.0,202.0
39175,camp_springs_md,madison_wi,"Camp Springs, MD","Madison, WI",33.0,716.0
39176,columbia_sc,milwaukee_wi,"Columbia, SC","Milwaukee, WI",33.0,721.0
39177,alexandria_la,greenville_ms,"Alexandria, LA","Greenville, MS",33.0,174.0
39178,salisbury_md,columbia_sc,"Salisbury, MD","Columbia, SC",33.0,436.0
39179,syracuse_ny,houston_tx,"Syracuse, NY","Houston, TX",33.0,1396.0
39180,south_bend_in,allentownbethlehemeaston_pa,"South Bend, IN","Allentown/Bethlehem/Easton, PA",33.0,571.0
39181,scrantonwilkes-barre_pa,syracuse_ny,"Scranton/Wilkes-Barre, PA","Syracuse, NY",33.0,124.0
39182,anderson_sc,tuscaloosa_al,"Anderson, SC","Tuscaloosa, AL",33.0,295.0
39183,marquette_mi,lansing_mi,"Marquette, MI","Lansing, MI",33.0,283.0
39184,north_kingstown_ri,greer_sc,"North Kingstown, RI","Greer, SC",33.0,746.0
39185,columbia_sc,bedford_ma,"Columbia, SC","Bedford, MA",33.0,794.0
39186,columbia_sc,harrisburg_pa,"Columbia, SC","Harrisburg, PA",33.0,494.0
39187,madison_wi,camp_springs_md,"Madison, WI","Camp Springs, MD",33.0,716.0
39188,binghamton_ny,saginawbay_citymidland_mi,"Binghamton, NY","Saginaw/Bay City/Midland, MI",33.0,422.0
39189,south_bend_in,south_bend_in,"South Bend, IN","South Bend, IN",33.0,0.0
39190,dallas_tx,ogden_ut,"Dallas, TX","Ogden, UT",33.0,1015.0
39191,fayetteville_ar,lake_charles_la,"Fayetteville, AR","Lake Charles, LA",33.0,429.0
39192,lexington_ky,killeen_tx,"Lexington, KY","Killeen, TX",33.0,893.0
39193,bloomington_in,san_antonio_tx,"Bloomington, IN","San Antonio, TX",33.0,946.0
39194,camp_springs_md,allentownbethlehemeaston_pa,"Camp Springs, MD","Allentown/Bethlehem/Easton, PA",33.0,148.0
39195,omaha_ne,roanoke_va,"Omaha, NE","Roanoke, VA",33.0,894.0
39196,duluth_mn,lansing_mi,"Duluth, MN","Lansing, MI",33.0,467.0
39197,san_antonio_tx,bloomington_in,"San Antonio, TX","Bloomington, IN",33.0,946.0
39198,lansing_mi,marquette_mi,"Lansing, MI","Marquette, MI",33.0,283.0
39199,ogden_ut,spokane_wa,"Ogden, UT","Spokane, WA",33.0,521.0
