YearMonth,source,target,CN,SA,JA,SO,HPI,HDI,LHNI,PA,AA,RA,LPI,weighted_CN,weighted_SA,weighted_JA,weighted_SO,weighted_HPI,weighted_HDI,weighted_LHNI,weighted_PA,weighted_AA,weighted_RA,weighted_LPI,distance,source_closeness,target_closeness,source_degree,target_degree,source_strength,target_strength,Proportion delayed,Significant Delay,Rides planned,Final arrival delay,Final arrival cancelled,Completely cancelled,Intermediate arrival delays,RandomForestClassifier_WTF_pred,RandomForestClassifier_WTF_proba
2019-01,'s-Hertogenbosch,Den Haag Centraal,4,0.2842676218074806,0.16,0.2758620689655172,0.3636363636363636,0.2222222222222222,0.0202020202020202,198,1.4010807926051043,0.2346611721611721,0.9545798388054788,4320,0.8354396139371005,172.8,0.6456916523428742,1.7668711656441718,0.3950256035113387,0.0001615646640128,26738520,0.4667485408795727,0.0007872558608877,0.0554721352685905,108.0,0.0087533957138545,0.0082121955824051,0.1264367816091954,0.2068965517241379,2445,10936,0.0899182561307901,False,1106,99,20,5,853,1.0,1.0
2019-01,'s-Hertogenbosch,Eindhoven Centraal,4,0.3113995776646092,0.1818181818181818,0.3076923076923077,0.3636363636363636,0.2666666666666666,0.0242424242424242,165,1.898155657173,0.4799603174603174,1.2320833805308449,3222,1.0489353338701075,146.45454545454547,1.0222081218274113,1.3177914110429447,0.8349313293599379,0.0003414852062821,9435255,0.4795883826008615,0.0014192200933998,0.0660231167757569,32.0,0.0087533957138545,0.0074042553191489,0.1264367816091954,0.1724137931034483,2445,3859,0.31640625,True,257,81,1,1,138,1.0,1.0
2019-01,'s-Hertogenbosch,Vught,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.0087533957138545,0.0084671532846715,0.1264367816091954,0.0229885057471264,2445,22,0.0,False,11,0,11,0,0,0.0,0.47058823529411653
2019-01,Alkmaar,Haarlem,1,0.1290994448735805,0.0666666666666666,0.125,0.1666666666666666,0.1,0.0166666666666666,60,0.2812664140627283,0.0285714285714285,0.1690308509457033,297,0.2409457359604367,19.8,0.2384584504215174,0.2783505154639175,0.208567415730337,0.000195470867601,1519408,0.1041349613213938,6.75310642895732e-05,0.0082177286575776,35.0,0.0073967012412854,0.0086809020155657,0.1149425287356321,0.0689655172413793,1067,1424,0.3779527559055118,True,132,48,6,5,73,1.0,1.0
2019-01,Alkmaar,Hoorn,2,0.282842712474619,0.1538461538461538,0.2666666666666666,0.4,0.2,0.04,50,0.736386027376147,0.1396825396825396,0.5023641842790366,1825,1.693815923746802,140.3846153846154,1.6937354988399071,1.710402999062793,1.677389705882353,0.0015720615800209,1160896,0.2450615464378097,0.0008960314785397,0.0370014117827478,24.0,0.0073967012412854,0.0070399741058423,0.1149425287356321,0.057471264367816,1067,1088,0.0754716981132075,False,54,4,1,1,8,1.0,0.53
2019-01,Almere Centrum,Amsterdam Centraal,2,0.1511857892036908,0.0526315789473684,0.1,0.4,0.0571428571428571,0.0114285714285714,175,0.627242670323922,0.0841269841269841,0.4047331113412191,2780,0.5034639974460925,73.15789473684211,0.3296377541945811,1.3501699854298204,0.1877363587250135,9.117841608791332e-05,30489672,0.2170580701153772,0.0001998069550101,0.0199723762085879,30.0,0.0081828442437923,0.0096207010947694,0.057471264367816,0.4022988505747126,2059,14808,0.1693693693693693,False,1119,188,9,9,188,0.0,0.0
2019-01,Almere Centrum,Amsterdam Zuid,1,0.1414213562373095,0.0714285714285714,0.1333333333333333,0.2,0.1,0.02,50,0.2812664140627283,0.0285714285714285,0.1690308509457033,954,1.3013674734677425,68.14285714285714,0.8224137931034483,3.655172413793104,0.4633317144244779,0.0017752172966455,537399,0.1095290537520826,0.0001083658430862,0.0104098915981992,29.0,0.0081828442437923,0.0092533503509891,0.057471264367816,0.1149425287356321,2059,261,0.0,False,7,0,0,0,0,0.0,0.355
2019-01,Alphen a/d Rijn,Leiden Centraal,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,15.0,0.0076726342710997,0.0086575778684446,0.0114942528735632,0.1264367816091954,396,3545,0.2412790697674418,True,396,83,53,52,91,0.0,0.47058823529411653
2019-01,Amersfoort Centraal,Groningen,7,0.6674238124719146,0.5,0.6666666666666666,0.7,0.6363636363636364,0.0636363636363636,110,2.419439136101277,0.3984450190332543,1.6334842492026866,3128,1.912293763755764,223.42857142857144,1.775255391600454,2.825654923215899,1.2941663218866364,0.0011690752681902,2675619,0.8573390967108621,0.0047684081200011,0.1347737785415737,172.0,0.0092928861354411,0.003888094386843,0.1149425287356321,0.1264367816091954,1107,2417,0.0,False,5,0,0,0,2,1.0,0.51
2019-01,Amersfoort Centraal,Utrecht Centraal,9,0.4810702354423639,0.25,0.4,0.9,0.2571428571428571,0.0257142857142857,350,3.7346506745736554,0.8274493480375833,2.6214266287985684,4476,1.400433446617962,124.33333333333331,0.8661828737300435,4.043360433604336,0.4850455136540962,0.0004381621622891,10215396,1.15855272780393,0.0067573309046514,0.2026762681581178,21.0,0.0092928861354411,0.010578793774319,0.1149425287356321,0.4022988505747126,1107,9228,0.1470588235294117,False,34,5,0,0,24,1.0,1.0
2019-01,Amersfoort Schothorst,Utrecht Centraal,4,0.3023715784073817,0.1111111111111111,0.2,0.8,0.1142857142857142,0.0228571428571428,175,1.548373420763031,0.3055555555555555,1.0917645901791708,2230,0.7021679284263665,61.94444444444444,0.4321286697025482,2.040256175663312,0.241655830082358,0.0002210940805877,10086204,0.5514340662229447,0.0050931525180444,0.1178552330473747,24.0,0.009043659043659,0.010578793774319,0.057471264367816,0.4022988505747126,1093,9228,0.1612903225806451,False,31,5,0,0,7,1.0,1.0
2019-01,Amsterdam Bijlmer ArenA,Leiden Centraal,1,0.1740776559556978,0.0769230769230769,0.1428571428571428,0.3333333333333333,0.0909090909090909,0.0303030303030303,33,0.333808200695334,0.05,0.2236067977499789,23,0.0557569613591827,1.7692307692307692,0.0128026718619538,0.4791666666666667,0.0064880112834978,0.0001351669017395,170160,0.1215296615275598,0.0002669514148424,0.0163386478890543,46.0,0.0087719298245614,0.0086575778684446,0.0344827586206896,0.1264367816091954,48,3545,0.125,False,16,2,0,0,4,1.0,0.6970588235294116
2019-01,Amsterdam Centraal,Amersfoort Centraal,6,0.3207134902949092,0.1538461538461538,0.2666666666666666,0.6,0.1714285714285714,0.0171428571428571,350,2.120910631559544,0.3607826813709167,1.4497369768179094,4661,1.151216722798866,119.51282051282053,0.585736726358781,4.210478771454381,0.3147622906537007,0.0002843381126049,16392456,0.7018591802609169,0.0012831954675992,0.0849981061887055,45.0,0.0096207010947694,0.0092928861354411,0.4022988505747126,0.1149425287356321,14808,1107,0.2491428571428571,True,883,218,14,8,306,0.0,0.0
2019-01,Amsterdam Centraal,Amersfoort Vathorst,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,51.0,0.0096207010947694,0.0064785166430858,0.4022988505747126,0.0114942528735632,14808,978,0.3371017471736896,True,978,328,20,5,826,0.0,0.47058823529411653
2019-01,Amsterdam Centraal,Amsterdam Lelylaan,3,0.253546276418555,0.0833333333333333,0.1538461538461538,0.75,0.0857142857142857,0.0214285714285714,140,1.326213309149833,0.3166666666666666,0.94808285423068,1350,1.1206565343753796,37.5,0.1811351133771635,13.775510204081632,0.0911669367909238,0.0009302748652135,1451184,0.4334026949790868,0.0056076479917549,0.1044405621876327,7.0,0.0096207010947694,0.0092879256965944,0.4022988505747126,0.0459770114942528,14808,98,0.0,False,7,0,7,0,0,0.0,0.43
2019-01,Amsterdam Centraal,Amsterdam Sloterdijk,3,0.2070196678027062,0.0789473684210526,0.1463414634146341,0.5,0.0857142857142857,0.0142857142857142,210,1.8235808019670812,0.575,1.3007669860932316,1199,0.7002262460990976,31.55263157894737,0.1598027455684393,6.055555555555555,0.0809697460831982,0.0004089381115313,2931984,0.501627261983676,0.0119342292878221,0.1598107961753214,4.0,0.0096207010947694,0.0094390799609417,0.4022988505747126,0.0689655172413793,14808,198,0.0,False,12,0,12,0,0,0.0,0.485
2019-01,Amsterdam Centraal,Breda,5,0.3194382824999699,0.1351351351351351,0.238095238095238,0.7142857142857143,0.1428571428571428,0.0204081632653061,245,2.148182482239817,0.4927521008403361,1.5232382284655532,2277,0.4507878364484248,61.54054054054054,0.2754824269554171,1.3215322112594312,0.1537682333873581,8.924447671930249e-05,25514184,0.6902800134224316,0.0075378020735621,0.1492388936491727,130.0,0.0096207010947694,0.0069705953048633,0.4022988505747126,0.0804597701149425,14808,1723,0.4295302013422818,True,1253,512,114,61,819,1.0,0.91
2019-01,Amsterdam Centraal,Den Haag Centraal,10,0.3984095364447979,0.2325581395348837,0.3773584905660377,0.5555555555555556,0.2857142857142857,0.0158730158730158,630,4.370683113094314,1.034393792482028,3.082937963903011,9347,0.734505055009622,217.3720930232558,0.7261497824735861,0.8547000731528895,0.6312128579146408,5.771880558839071e-05,161940288,1.2919138003043893,0.0061558183366412,0.2198448865201271,63.0,0.0096207010947694,0.0082121955824051,0.4022988505747126,0.2068965517241379,14808,10936,0.1466441060349689,False,1882,260,124,109,1065,1.0,1.0
2019-01,Amsterdam Centraal,Den Haag HS,2,0.1511857892036908,0.0526315789473684,0.1,0.4,0.0571428571428571,0.0114285714285714,175,1.072008968920998,0.3095238095238095,0.7862127634730902,1404,0.912134565266535,36.94736842105263,0.1876002137894174,8.775,0.0948136142625607,0.000592585089141,2369280,0.2719131719147218,0.001282630243826,0.0505910875463194,64.0,0.0096207010947694,0.0076503693281744,0.4022988505747126,0.057471264367816,14808,160,0.3333333333333333,True,18,6,0,0,12,0.0,0.45
2019-01,Amsterdam Centraal,Enkhuizen,5,0.2988071523335984,0.131578947368421,0.2325581395348837,0.625,0.1428571428571428,0.0178571428571428,280,2.163085617733897,0.5063492063492063,1.5430680067765756,1742,0.4076790642702935,45.8421052631579,0.2171934418053737,1.4128142741281426,0.1176391139924365,9.540885157537432e-05,18258264,0.7057470676744606,0.007214769957023,0.1579093277680792,61.0,0.0096207010947694,0.0062562922479505,0.4022988505747126,0.0919540229885057,14808,1233,0.3064516129032258,True,140,38,16,16,78,1.0,1.0
2019-01,Amsterdam Centraal,Hengelo,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,156.0,0.0096207010947694,0.0039282972863141,0.4022988505747126,0.0229885057471264,14808,222,0.2394366197183098,True,213,51,2,0,146,0.0,0.47058823529411653
2019-01,Amsterdam Centraal,Hilversum,1,0.0975900072948533,0.027027027027027,0.0526315789473684,0.3333333333333333,0.0285714285714285,0.0095238095238095,105,0.2812664140627283,0.0285714285714285,0.1690308509457033,165,0.1107108313064152,4.45945945945946,0.0220617729643,1.1,0.0111426256077795,7.428417071853052e-05,2221200,0.1095290537520826,0.0001083658430862,0.0104098915981992,29.0,0.0096207010947694,0.0096217650962176,0.4022988505747126,0.0344827586206896,14808,150,0.2222222222222222,True,9,2,0,0,7,1.0,0.5544117647058823
2019-01,Amsterdam Centraal,Hoorn,4,0.3023715784073817,0.1111111111111111,0.2,0.8,0.1142857142857142,0.0228571428571428,175,1.8818192036711692,0.4777777777777778,1.3740371558308722,1487,0.3704659673855496,41.30555555555556,0.1870910920986411,1.3667279411764706,0.1004186925985953,9.229659246194426e-05,16111104,0.5962180139223779,0.0071064041139368,0.1474994361698799,43.0,0.0096207010947694,0.0070399741058423,0.4022988505747126,0.057471264367816,14808,1088,0.0695187165775401,False,937,65,10,2,765,0.0,0.0
2019-01,Amsterdam Centraal,Schiphol Airport,9,0.3401680257083045,0.1956521739130435,0.3272727272727272,0.45,0.2571428571428571,0.0128571428571428,700,3.977881331991952,0.9498737373737374,2.7884584039259668,4767,0.6400487629485009,103.6304347826087,0.5138514606014876,1.272557394554191,0.3219205834683954,8.593715522381086e-05,55470768,1.24790631022851,0.0153963773067447,0.2772016185545491,19.0,0.0096207010947694,0.0091762472313047,0.4022988505747126,0.2298850574712643,14808,3746,0.19375,True,161,31,5,1,54,1.0,1.0
2019-01,Amsterdam Sloterdijk,Hoorn,1,0.1825741858350553,0.1,0.1818181818181818,0.2,0.1666666666666666,0.0333333333333333,30,0.2812664140627283,0.0285714285714285,0.1690308509457033,1002,2.158841105729205,100.2,1.5583203732503887,5.0606060606060606,0.9209558823529412,0.0046512923351158,215424,0.1041349613213938,6.75310642895732e-05,0.0082177286575776,39.0,0.0094390799609417,0.0070399741058423,0.0689655172413793,0.057471264367816,198,1088,0.0,False,4,0,0,0,1,0.0,0.25
2019-01,Amsterdam Zuid,Utrecht Centraal,8,0.4276179870598789,0.2162162162162162,0.3555555555555555,0.8,0.2285714285714285,0.0228571428571428,350,3.901108398559544,1.0325757575757577,2.813802546418471,1267,0.8163991958949044,34.24324324324324,0.2670460533249025,4.854406130268199,0.1372995231902904,0.0005260518129896,2408508,1.085289200051652,0.0053886191642607,0.2029228134823233,35.0,0.0092533503509891,0.010578793774319,0.1149425287356321,0.4022988505747126,261,9228,0.2241379310344827,True,58,13,0,0,42,1.0,0.61
2019-01,Apeldoorn,Almelo,1,0.4082482904638631,0.25,0.4,0.5,0.3333333333333333,0.1666666666666666,6,0.6213349345596119,0.2,0.4472135954999579,93,0.1125706717013493,23.25,0.1121157323688969,0.1231788079470198,0.1028761061946902,0.0001362597433042,682520,0.1687975729266148,0.0026737967914438,0.0517087689995019,54.0,0.0047728768926925,0.0042810746973723,0.0344827586206896,0.0229885057471264,904,755,0.3455882352941176,True,684,235,12,4,448,1.0,1.0
2019-01,Arnhem Centraal,'s-Hertogenbosch,5,0.4029114820126901,0.25,0.4,0.4545454545454545,0.3571428571428571,0.0324675324675324,154,1.8831382928637472,0.3589035964035965,1.3141200596529194,1310,0.5596428191697037,65.5,0.5591122492530943,0.5845604640785363,0.5357873210633947,0.0002390840343879,5479245,0.6017669674357674,0.0013451177846267,0.0797144834293743,62.0,0.0077936038699274,0.0087533957138545,0.160919540229885,0.1264367816091954,2241,2445,0.5,True,4,2,1,0,3,1.0,1.0
2019-01,Arnhem Centraal,Roosendaal,6,0.50709255283711,0.3333333333333333,0.5,0.6,0.4285714285714285,0.0428571428571428,140,2.5208527798814933,0.5684274059274059,1.784105057109172,3065,1.389567470658976,170.27777777777777,1.3893925657298278,1.411791801013358,1.3676929941990184,0.0006299829544905,4865211,0.7465606681873236,0.0024372823925832,0.1124909422767834,129.0,0.0077936038699274,0.0065266316579144,0.160919540229885,0.1149425287356321,2241,2171,0.2884615384615384,True,52,15,2,0,30,0.0,0.0
2019-01,Arnhem Centraal,Schiphol Airport,4,0.2390457218668787,0.1333333333333333,0.2352941176470588,0.2857142857142857,0.2,0.0142857142857142,280,1.3402389797719438,0.210551948051948,0.8895730464691702,2313,0.798308618620527,77.1,0.7726741272757641,1.0321285140562249,0.6174586225306994,0.0002755281671265,8394786,0.4569571469697743,0.0007312810699556,0.0516125406102247,104.0,0.0077936038699274,0.0091762472313047,0.160919540229885,0.2298850574712643,2241,3746,0.2307692307692307,True,56,12,4,4,36,1.0,0.7
2019-01,Arnhem Centraal,Zwolle,6,0.4447495899966607,0.2857142857142857,0.4444444444444444,0.4615384615384615,0.4285714285714285,0.0329670329670329,182,2.3890027194284484,0.5056277056277056,1.6655604475276349,3796,1.1913961010049643,180.7619047619048,1.1212523999409243,1.6938866577420797,0.8379690949227373,0.0003739264145126,10151730,0.7418778981884345,0.0023625060703936,0.1101851074652315,76.0,0.0077936038699274,0.0063420323662341,0.160919540229885,0.1494252873563218,2241,4530,0.2222222222222222,True,36,8,0,0,28,0.0,0.0
2019-01,Baarn,Utrecht Centraal,1,0.0975900072948533,0.027027027027027,0.0526315789473684,0.3333333333333333,0.0285714285714285,0.0095238095238095,105,0.9102392266268372,0.3333333333333333,0.5773502691896258,141,0.0432640984227718,3.810810810810811,0.0271702476153772,0.1225021720243266,0.0152795838751625,1.3275051151314117e-05,10621428,0.199575491191355,0.0066666666666666,0.0816496580927726,24.0,0.0090975635260901,0.010578793774319,0.0344827586206896,0.4022988505747126,1151,9228,0.2040636042402827,True,1150,231,33,18,493,0.0,0.0
2019-01,Boxtel,Vught,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,8.0,0.0079357840007297,0.0084671532846715,0.0114942528735632,0.0229885057471264,11,22,0.0,False,11,0,11,0,0,0.0,0.47058823529411653
2019-01,Breda,Amsterdam Centraal,5,0.3194382824999699,0.1351351351351351,0.238095238095238,0.7142857142857143,0.1428571428571428,0.0204081632653061,245,2.148182482239817,0.4927521008403361,1.5232382284655532,2277,0.4507878364484248,61.54054054054054,0.2754824269554171,1.3215322112594312,0.1537682333873581,8.924447671930249e-05,25514184,0.6902800134224316,0.0075378020735621,0.1492388936491727,130.0,0.0069705953048633,0.0096207010947694,0.0804597701149425,0.4022988505747126,1723,14808,0.6124684077506318,True,1257,727,131,70,948,1.0,0.91
2019-01,Den Haag Centraal,Enschede,3,0.2886751345948128,0.1428571428571428,0.25,0.5,0.1666666666666666,0.0277777777777777,108,1.049369096661314,0.1785714285714285,0.7088654147125202,1515,0.4016471908085284,72.14285714285714,0.2476097082618288,1.164488854727133,0.1385332845647403,0.0001064821556992,14227736,0.3737240968546294,0.0012786596246857,0.0568041939761679,200.0,0.0082121955824051,0.0045698077529152,0.2068965517241379,0.0689655172413793,10936,1301,0.2763385146804836,True,579,160,5,0,318,0.0,0.0
2019-01,Den Haag Centraal,Utrecht Centraal,13,0.5179323973782373,0.325,0.490566037735849,0.7222222222222222,0.3714285714285714,0.0206349206349206,630,5.694241855752408,1.3453786409668762,4.047712933398972,11242,1.1190784618648155,281.05,1.1150565364015077,1.218248807975726,1.02798098024872,0.0001113980256012,100917408,1.6487963511400456,0.0056905029501455,0.2591589305643858,60.0,0.0082121955824051,0.010578793774319,0.2068965517241379,0.4022988505747126,10936,9228,0.1668533034714445,False,929,149,43,36,200,1.0,0.925
2019-01,Den Haag HS,Breda,2,0.3380617018914066,0.2,0.3333333333333333,0.4,0.2857142857142857,0.0571428571428571,35,0.6505357871315833,0.0952380952380952,0.4272297406928644,1309,2.493084602606096,130.9,1.3903345724907064,8.18125,0.7597214161346488,0.0047482588508415,275680,0.2252272618996917,0.0003266655550902,0.024315383480586,72.0,0.0076503693281744,0.0069705953048633,0.057471264367816,0.0804597701149425,160,1723,0.2307692307692307,True,79,18,2,1,24,1.0,1.0
2019-01,Den Helder,Amsterdam Centraal,6,0.3833259389999639,0.1666666666666666,0.2857142857142857,0.8571428571428571,0.1714285714285714,0.0244897959183673,245,2.524746708944844,0.5686868686868687,1.7956128272499257,1781,0.4239138333433435,49.47222222222222,0.222625,1.4941275167785235,0.1202728254997298,0.0001009000213923,17651136,0.7923742546385072,0.0035915950127151,0.1400570933918711,81.0,0.0056589046442045,0.0096207010947694,0.0804597701149425,0.4022988505747126,1192,14808,0.3548387096774194,True,31,11,0,0,29,1.0,1.0
2019-01,Den Helder,Arnhem Centraal,3,0.3030457633656632,0.1666666666666666,0.2857142857142857,0.4285714285714285,0.2142857142857142,0.0306122448979591,98,0.979565219549703,0.148051948051948,0.6395730464691702,1508,0.9226612587186408,83.77777777777777,0.8785318963006117,1.2651006711409396,0.6729138777331548,0.0005645250652123,2671272,0.3396162888797451,0.0005322760948312,0.0375056282930527,178.0,0.0056589046442045,0.0077936038699274,0.0804597701149425,0.160919540229885,1192,2241,0.2,True,5,1,0,0,5,1.0,0.685
2019-01,Deurne,'s-Hertogenbosch,1,0.1740776559556978,0.0769230769230769,0.1428571428571428,0.3333333333333333,0.0909090909090909,0.0303030303030303,33,0.369269373068855,0.0666666666666666,0.2581988897471611,227,0.1466470691195322,17.46153846153846,0.1325547445255474,0.2316326530612245,0.092842535787321,9.473728141563374e-05,2396100,0.1210923005782978,0.0002591344908007,0.0160976548230084,54.0,0.006397999705839,0.0087533957138545,0.0344827586206896,0.1264367816091954,980,2445,0.2877059569074778,True,791,227,20,2,529,1.0,1.0
2019-01,Dordrecht,Den Haag Centraal,6,0.3535533905932738,0.2142857142857142,0.3529411764705882,0.375,0.3333333333333333,0.0208333333333333,288,2.171364894540172,0.3858798064680417,1.4963948526347035,5083,0.6856821216157436,181.53571428571428,0.6369275108075935,1.0115422885572138,0.4647951719092904,9.24965516237394e-05,54953400,0.7134022345538225,0.001466652881513,0.0911620915454385,43.0,0.0076834761105714,0.0082121955824051,0.1839080459770115,0.2068965517241379,5025,10936,0.2363534046145188,True,1863,420,101,86,1146,0.0,0.0
2019-01,Dordrecht,Eindhoven Centraal,5,0.3227486121839514,0.1923076923076923,0.3225806451612903,0.3333333333333333,0.3125,0.0208333333333333,240,1.963671314615286,0.3981453187335541,1.3813205007688183,3627,0.823648919898715,139.5,0.8165240882485367,0.9398807981342316,0.7217910447761194,0.0001870409548525,19391475,0.6075496533866691,0.0015297240440529,0.0837048740997043,88.0,0.0076834761105714,0.0074042553191489,0.1839080459770115,0.1724137931034483,5025,3859,0.8571428571428571,True,7,6,0,0,6,1.0,0.81
2019-01,Duivendrecht,Dordrecht,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,98.0,0.0044048402612525,0.0076834761105714,0.0114942528735632,0.1839080459770115,207,5025,0.1836734693877551,False,207,36,13,11,131,0.0,0.47058823529411653
2019-01,Eindhoven Centraal,Den Haag Centraal,5,0.3042903097250923,0.1785714285714285,0.303030303030303,0.3333333333333333,0.2777777777777778,0.0185185185185185,270,1.745736890269311,0.2908040488922842,1.1866846183097788,4298,0.6616065118329634,153.5,0.5810070969922271,1.1137600414615183,0.3930138990490124,0.0001018434566076,42202024,0.5926951845292141,0.0011652706975247,0.0745680528585264,131.0,0.0074042553191489,0.0082121955824051,0.1724137931034483,0.2068965517241379,3859,10936,0.4461538461538462,True,1088,464,77,48,886,1.0,1.0
2019-01,Eindhoven Centraal,Deurne,1,0.1490711984999859,0.0588235294117647,0.1111111111111111,0.3333333333333333,0.0666666666666666,0.0222222222222222,45,0.4170323914242463,0.0909090909090909,0.3015113445777636,1005,0.5167918244983857,59.11764705882353,0.4153750774953503,1.0255102040816326,0.2604301632547292,0.0002657450645456,3781820,0.1281755426292777,0.0004089979550102,0.0202236978569752,22.0,0.0074042553191489,0.006397999705839,0.1724137931034483,0.0344827586206896,3859,980,0.2307692307692307,True,13,3,0,0,5,1.0,0.9
2019-01,Eindhoven Centraal,Dordrecht,5,0.3227486121839514,0.1923076923076923,0.3225806451612903,0.3333333333333333,0.3125,0.0208333333333333,240,1.9636713146152855,0.3981453187335539,1.3813205007688187,3627,0.823648919898715,139.5,0.8165240882485367,0.9398807981342316,0.7217910447761194,0.0001870409548525,19391475,0.6075496533866692,0.0015297240440529,0.0837048740997043,88.0,0.0074042553191489,0.0076834761105714,0.1724137931034483,0.1839080459770115,3859,5025,0.1666666666666666,False,6,1,0,0,5,1.0,0.81
2019-01,Eindhoven Centraal,Rotterdam Centraal,4,0.2504897164340598,0.1428571428571428,0.25,0.2666666666666666,0.2352941176470588,0.0156862745098039,255,1.5018147729159137,0.2894841269841269,1.0326975843504465,2515,0.5461063646348823,89.82142857142857,0.5376803848209514,0.6517232443638248,0.4576055312954876,0.0001185813763398,21209064,0.4685942925416785,0.0009791949829494,0.0581704290719204,108.0,0.0074042553191489,0.0082331787640768,0.1724137931034483,0.1954022988505747,3859,5496,0.4318181818181818,True,47,19,3,3,24,1.0,0.585
