YearMonth,source,target,Rides planned,Final arrival delay,Final arrival cancelled,Completely cancelled,Intermediate arrival delays,Proportion delayed,Significant Delay
2019-01,Amsterdam Centraal,Schiphol Airport,161,31,5,1,54,0.19375,True
2019-01,Amsterdam Centraal,Uitgeest,44,14,1,0,22,0.3181818181818182,True
2019-01,Amsterdam Centraal,Utrecht Centraal,138,29,0,0,60,0.21014492753623187,True
2019-01,Amsterdam Centraal,Vlissingen,1044,393,7,0,917,0.3764367816091954,True
2019-01,Amsterdam Centraal,Weesp,13,0,0,0,2,0.0,False
2019-01,Amsterdam Centraal,Zandvoort aan Zee,1097,266,7,4,570,0.2433668801463861,True
2019-01,Amsterdam Centraal,Zwolle,1062,253,18,3,654,0.23890462700661,True
2019-01,Amsterdam Sloterdijk,Amsterdam Lelylaan,28,0,28,0,0,0.0,False
2019-01,Amsterdam Sloterdijk,Enkhuizen,4,0,0,0,3,0.0,False
2019-01,Amsterdam Sloterdijk,Hoorn,4,0,0,0,1,0.0,False
2019-01,Amsterdam Sloterdijk,Hoorn Kersenboogerd,135,40,2,0,109,0.2962962962962963,True
2019-01,Amsterdam Zuid,Amersfoort Schothorst,33,7,3,0,14,0.21212121212121213,True
2019-01,Amsterdam Zuid,Enschede,34,3,0,0,16,0.08823529411764706,False
2019-01,Amsterdam Zuid,Groningen,33,5,0,0,22,0.15151515151515152,False
2019-01,Amsterdam Zuid,Leeuwarden,34,9,0,0,25,0.2647058823529412,True
2019-01,Amsterdam Zuid,Lelystad Centrum,5,2,0,0,5,0.4,True
2019-01,Amsterdam Zuid,Utrecht Centraal,58,13,0,0,42,0.22413793103448276,True
2019-01,Apeldoorn,Almelo,684,235,12,4,448,0.34558823529411764,True
2019-01,Apeldoorn,Deventer,23,6,2,2,6,0.2857142857142857,True
2019-01,Apeldoorn,Enschede,176,38,2,1,113,0.21714285714285714,True
2019-01,Arnhem Centraal,'s-Hertogenbosch,4,2,1,0,3,0.5,True
2019-01,Arnhem Centraal,Amsterdam Centraal,229,95,7,4,147,0.4222222222222222,True
2019-01,Arnhem Centraal,Brummen,17,0,17,0,0,0.0,False
2019-01,Arnhem Centraal,Dordrecht,824,198,6,1,582,0.24058323207776428,True
2019-01,Arnhem Centraal,Ede-Wageningen,914,148,5,5,238,0.1628162816281628,False
2019-01,Arnhem Centraal,Elst,4,0,4,0,0,0.0,False
2019-01,Arnhem Centraal,Nijmegen,191,25,3,3,32,0.13297872340425532,False
2019-01,Arnhem Centraal,Roosendaal,52,15,2,0,30,0.28846153846153844,True
2019-01,Arnhem Centraal,Schiphol Airport,56,12,4,4,36,0.23076923076923078,True
2019-01,Arnhem Centraal,Zwolle,36,8,0,0,28,0.2222222222222222,True
2019-01,Assen,Groningen,265,38,27,26,66,0.1589958158995816,False
2019-01,Baarn,Utrecht Centraal,1150,231,33,18,493,0.2040636042402827,True
2019-01,Bergen op Zoom,Amsterdam Centraal,22,14,1,0,22,0.6363636363636364,True
2019-01,Bergen op Zoom,Roosendaal,44,2,4,4,2,0.05,False
2019-01,Boxtel,Vught,11,0,11,0,0,0.0,False
2019-01,Breda,Amsterdam Centraal,1257,727,131,70,948,0.6124684077506318,True
2019-01,Breda,Arnhem Centraal,22,13,2,0,17,0.5909090909090909,True
2019-01,Breda,Den Haag HS,81,33,1,1,70,0.4125,True
2019-01,Breda,Dordrecht,158,58,15,15,63,0.40559440559440557,True
2019-01,Breda,Roosendaal,28,5,2,2,5,0.19230769230769232,True
2019-01,Breda,Rotterdam Centraal,199,97,7,7,102,0.5052083333333334,True
2019-01,Breukelen,Rhenen,657,109,3,0,489,0.1659056316590563,False
2019-01,Breukelen,Utrecht Centraal,73,18,6,6,52,0.26865671641791045,True
2019-01,Breukelen,Veenendaal Centrum,168,36,12,9,105,0.22641509433962265,True
2019-01,Den Haag Centraal,'s-Hertogenbosch,1119,231,11,1,915,0.20661896243291591,True
2019-01,Den Haag Centraal,Amersfoort Centraal,31,4,0,0,7,0.12903225806451613,False
2019-01,Den Haag Centraal,Amersfoort Schothorst,509,66,8,3,142,0.13043478260869565,False
2019-01,Den Haag Centraal,Amsterdam Centraal,1831,393,118,88,1031,0.22547332185886404,True
2019-01,Den Haag Centraal,Dordrecht,1874,322,89,82,965,0.1796875,False
2019-01,Den Haag Centraal,Eindhoven Centraal,1065,419,62,32,766,0.40561471442400776,True
2019-01,Den Haag Centraal,Enschede,579,160,5,0,318,0.2763385146804836,True
2019-01,Den Haag Centraal,Gouda Goverwelle,645,49,66,63,167,0.08419243986254296,False
2019-01,Den Haag Centraal,Groningen,474,118,3,1,309,0.24947145877378435,True
2019-01,Den Haag Centraal,Haarlem,780,276,45,27,446,0.3665338645418327,True
2019-01,Den Haag Centraal,Leeuwarden,461,107,6,1,326,0.2326086956521739,True
2019-01,Den Haag Centraal,Leiden Centraal,442,49,2,2,91,0.11136363636363636,False
2019-01,Den Haag Centraal,Schiphol Airport,102,21,4,3,26,0.21212121212121213,True
2019-01,Den Haag Centraal,Utrecht Centraal,929,149,43,36,200,0.16685330347144456,False
2019-01,Den Haag Centraal,Zwolle,21,3,0,0,15,0.14285714285714285,False
2019-01,Den Haag HS,Breda,79,18,2,1,24,0.23076923076923078,True
2019-01,Den Haag HS,Eindhoven Centraal,22,6,2,1,15,0.2857142857142857,True
2019-01,Den Haag HS,Gouda,10,3,0,0,3,0.3,True
2019-01,Den Helder,Alkmaar,9,1,0,0,2,0.1111111111111111,False
2019-01,Den Helder,Amsterdam Centraal,31,11,0,0,29,0.3548387096774194,True
2019-01,Den Helder,Arnhem Centraal,5,1,0,0,5,0.2,True
2019-01,Den Helder,Maastricht,66,31,1,0,64,0.4696969696969697,True
2019-01,Den Helder,Nijmegen,1079,286,13,0,960,0.26506024096385544,True
2019-01,Deurne,'s-Hertogenbosch,791,227,20,2,529,0.2877059569074778,True
2019-01,Deurne,Oss,176,66,17,0,153,0.375,True
2019-01,Deventer,Almelo,71,32,3,0,46,0.4507042253521127,True
2019-01,Deventer,Amsterdam Centraal,268,89,4,2,136,0.33458646616541354,True
2019-01,Deventer,Apeldoorn,22,3,0,0,3,0.13636363636363635,False
2019-01,Deventer,Den Haag Centraal,9,2,0,0,8,0.2222222222222222,True
2019-01,Deventer,Schiphol Airport,4,1,0,0,2,0.25,True
2019-01,Dordrecht,'s-Hertogenbosch,161,29,8,3,89,0.18354430379746836,False
2019-01,Dordrecht,Amsterdam Centraal,164,29,3,2,116,0.17901234567901234,False
2019-01,Dordrecht,Arnhem Centraal,712,222,56,1,598,0.31223628691983124,True
2019-01,Dordrecht,Breda,127,33,15,15,40,0.29464285714285715,True
2019-01,Dordrecht,Den Haag Centraal,1863,420,101,86,1146,0.23635340461451884,True
2019-01,Dordrecht,Duivendrecht,207,40,20,10,113,0.20304568527918782,True
2019-01,Dordrecht,Eindhoven Centraal,7,6,0,0,6,0.8571428571428571,True
2019-01,Dordrecht,Lelystad Centrum,612,107,60,52,437,0.19107142857142856,True
2019-01,Dordrecht,Nijmegen,248,117,3,0,220,0.4717741935483871,True
2019-01,Dordrecht,Roosendaal,914,623,8,4,650,0.6846153846153846,True
2019-01,Dordrecht,Rotterdam Centraal,33,11,2,2,13,0.3548387096774194,True
2019-01,Duivendrecht,Dordrecht,207,36,13,11,131,0.1836734693877551,False
2019-01,Ede-Wageningen,Arnhem Centraal,862,393,6,6,498,0.4591121495327103,True
2019-01,Eindhoven Centraal,'s-Hertogenbosch,214,57,7,1,87,0.2676056338028169,True
2019-01,Eindhoven Centraal,Breda,12,3,0,0,6,0.25,True
2019-01,Eindhoven Centraal,Den Haag Centraal,1088,464,77,48,886,0.4461538461538462,True
2019-01,Eindhoven Centraal,Deurne,13,3,0,0,5,0.23076923076923078,True
2019-01,Eindhoven Centraal,Dordrecht,6,1,0,0,5,0.16666666666666666,False
2019-01,Eindhoven Centraal,Enkhuizen,80,21,0,0,64,0.2625,True
2019-01,Eindhoven Centraal,Heerlen,113,60,2,0,73,0.5309734513274337,True
2019-01,Eindhoven Centraal,Maastricht,40,12,1,1,21,0.3076923076923077,True
2019-01,Eindhoven Centraal,Rotterdam Centraal,47,19,3,3,24,0.4318181818181818,True
2019-01,Eindhoven Centraal,Schiphol Airport,22,4,1,1,11,0.19047619047619047,True
2019-01,Eindhoven Centraal,Tilburg Universiteit,1025,349,41,4,537,0.3418217433888345,True
2019-01,Eindhoven Centraal,Utrecht Centraal,16,6,1,1,8,0.4,True
2019-01,Eindhoven Centraal,Venlo,114,40,4,1,111,0.35398230088495575,True
2019-01,Eindhoven Centraal,Weert,948,259,4,4,353,0.274364406779661,True
2019-01,Enkhuizen,Alkmaar,8,1,0,0,3,0.125,False
2019-01,Enkhuizen,Amsterdam Centraal,166,52,16,16,83,0.3466666666666667,True
2019-01,Enkhuizen,Eindhoven Centraal,62,30,0,0,52,0.4838709677419355,True
2019-01,Enkhuizen,Heerlen,738,302,15,1,609,0.4097693351424695,True
2019-01,Enkhuizen,Hoofddorp,20,8,0,0,20,0.4,True
2019-01,Enkhuizen,Maastricht,288,119,2,0,235,0.4131944444444444,True
2019-01,Enschede,Amsterdam Zuid,32,16,0,0,20,0.5,True
2019-01,Enschede,Apeldoorn,198,49,7,1,118,0.24873096446700507,True
2019-01,Enschede,Den Haag Centraal,579,96,62,2,321,0.1663778162911612,False
2019-01,Enschede,Schiphol Airport,471,135,19,0,281,0.28662420382165604,True
2019-01,Enschede,Utrecht Centraal,23,6,0,0,13,0.2608695652173913,True
2019-01,Eygelshoven Markt,Landgraaf,95,0,95,0,0,0.0,False
2019-01,Gouda,Rotterdam Centraal,36,13,0,0,13,0.3611111111111111,True
2019-01,Gouda,Utrecht Centraal,29,3,0,0,19,0.10344827586206896,False
2019-01,Gouda Goverwelle,Den Haag Centraal,696,81,68,67,244,0.1287758346581876,False
2019-01,Gouda Goverwelle,Rotterdam Centraal,331,95,47,47,199,0.3345070422535211,True
2019-01,Groningen,Amsterdam Centraal,8,5,0,0,8,0.625,True
2019-01,Groningen,Amsterdam Zuid,35,6,1,0,15,0.17142857142857143,False
2019-01,Groningen,Assen,259,20,22,22,41,0.08438818565400844,False
2019-01,Groningen,Den Haag Centraal,461,110,5,1,299,0.2391304347826087,True
2019-01,Groningen,Leiden Centraal,21,3,0,0,9,0.14285714285714285,False
2019-01,Groningen,Rotterdam Centraal,544,123,49,0,353,0.2261029411764706,True
2019-01,Groningen,Schiphol Airport,36,17,0,0,24,0.4722222222222222,True
2019-01,Groningen,Zwolle,983,171,7,1,392,0.17413441955193482,False
2019-01,Haarlem,Alkmaar,132,76,2,2,94,0.5846153846153846,True
2019-01,Haarlem,Amsterdam Centraal,37,5,1,1,17,0.1388888888888889,False
2019-01,Haarlem,Den Haag Centraal,730,308,25,20,596,0.43380281690140843,True
2019-01,Haarlem,Den Haag HS,31,11,0,0,22,0.3548387096774194,True
2019-01,Haarlem,Leiden Centraal,451,190,13,12,268,0.4328018223234624,True
