YearMonth,source,target,Rides planned,Final arrival delay,Final arrival cancelled,Completely cancelled,Intermediate arrival delays,Proportion delayed,Significant Delay
2020-12,Uitgeest,Zaandam,423,0,186,186,0,0.0,False
2020-12,Utrecht Centraal,'s-Hertogenbosch,545,42,4,2,230,0.07734806629834254,False
2020-12,Utrecht Centraal,Almere Centrum,930,165,30,17,416,0.18072289156626506,False
2020-12,Utrecht Centraal,Amersfoort Centraal,6,1,0,0,1,0.16666666666666666,False
2020-12,Utrecht Centraal,Amersfoort Schothorst,36,5,3,2,6,0.14705882352941177,False
2020-12,Utrecht Centraal,Amsterdam Centraal,65,5,16,16,16,0.10204081632653061,False
2020-12,Utrecht Centraal,Amsterdam Zuid,65,11,6,0,30,0.16923076923076924,False
2020-12,Utrecht Centraal,Assen,33,5,0,0,20,0.15151515151515152,False
2020-12,Utrecht Centraal,Baarn,1108,79,0,0,823,0.07129963898916968,False
2020-12,Utrecht Centraal,Breukelen,160,3,58,58,5,0.029411764705882353,False
2020-12,Utrecht Centraal,Den Haag Centraal,35,2,0,0,8,0.05714285714285714,False
2020-12,Utrecht Centraal,Den Helder,15,5,0,0,15,0.3333333333333333,True
2020-12,Utrecht Centraal,Deventer,34,5,0,0,9,0.14705882352941177,False
2020-12,Utrecht Centraal,Enkhuizen,4,1,0,0,4,0.25,True
2020-12,Utrecht Centraal,Gouda,189,0,5,5,0,0.0,False
2020-12,Utrecht Centraal,Hilversum,127,19,0,0,40,0.14960629921259844,False
2020-12,Utrecht Centraal,Hoofddorp,876,87,23,5,469,0.09988518943742825,False
2020-12,Utrecht Centraal,Leeuwarden,53,9,13,0,35,0.16981132075471697,False
2020-12,Utrecht Centraal,Leiden Centraal,1079,222,11,11,671,0.20786516853932585,True
2020-12,Utrecht Centraal,Maastricht,22,12,1,0,18,0.5454545454545454,True
2020-12,Utrecht Centraal,Nijmegen,152,56,2,1,85,0.3708609271523179,True
2020-12,Utrecht Centraal,Rhenen,105,26,0,0,48,0.24761904761904763,True
2020-12,Utrecht Centraal,Rotterdam Centraal,216,53,6,2,126,0.24766355140186916,True
2020-12,Utrecht Centraal,Schiphol Airport,124,65,1,1,93,0.5284552845528455,True
2020-12,Utrecht Centraal,Tiel,103,19,0,0,63,0.18446601941747573,False
2020-12,Utrecht Centraal,Uitgeest,7,0,0,0,0,0.0,False
2020-12,Utrecht Centraal,Utrecht Maliebaan,68,0,68,68,0,0.0,False
2020-12,Utrecht Centraal,Zaandam,26,0,0,0,0,0.0,False
2020-12,Utrecht Centraal,Zwolle,1086,149,13,8,483,0.13821892393320964,False
2020-12,Utrecht Maliebaan,Utrecht Centraal,68,0,68,68,0,0.0,False
2020-12,Venlo,Dordrecht,289,59,6,1,233,0.2048611111111111,True
2020-12,Venlo,Eindhoven Centraal,171,67,1,0,103,0.391812865497076,True
2020-12,Venlo,Hoofddorp,5,2,1,0,5,0.4,True
2020-12,Venlo,Schiphol Airport,646,171,19,1,485,0.2651162790697674,True
2020-12,Vlissingen,Amsterdam Centraal,1132,218,52,2,968,0.1929203539823009,True
2020-12,Vlissingen,Roosendaal,32,10,0,0,14,0.3125,True
2020-12,Vlissingen,Rotterdam Centraal,32,19,0,0,27,0.59375,True
2020-12,Weert,Eindhoven Centraal,32,9,0,0,11,0.28125,True
2020-12,Weert,Tilburg Universiteit,908,322,24,0,523,0.35462555066079293,True
2020-12,Weesp,Amersfoort Centraal,13,0,0,0,0,0.0,False
2020-12,Weesp,Amsterdam Centraal,5,5,0,0,5,1.0,True
2020-12,Weesp,Hoofddorp,8,1,0,0,3,0.125,False
2020-12,Wien Hbf,Nürnberg Hbf,19,0,0,0,0,0.0,False
2020-12,Wierden,Assen,7,0,0,0,0,0.0,False
2020-12,Wierden,Deventer,94,0,0,0,0,0.0,False
2020-12,Wierden,Enschede,73,4,0,0,6,0.0547945205479452,False
2020-12,Wijchen,Zutphen,723,232,14,5,464,0.3231197771587744,True
2020-12,Woerden,'s-Hertogenbosch,623,64,14,5,427,0.10355987055016182,False
2020-12,Woerden,Leiden Centraal,72,7,1,1,13,0.09859154929577464,False
2020-12,Woerden,Zaandam,66,5,0,0,27,0.07575757575757576,False
2020-12,Zaandam,Alkmaar,13,0,0,0,0,0.0,False
2020-12,Zaandam,Amsterdam Centraal,20,2,0,0,4,0.1,False
2020-12,Zaandam,Hoorn,156,0,78,78,0,0.0,False
2020-12,Zaandam,Maastricht,67,15,0,0,44,0.22388059701492538,True
2020-12,Zaandam,Rotterdam Centraal,37,18,0,0,29,0.4864864864864865,True
2020-12,Zaandam,Uitgeest,440,0,187,187,0,0.0,False
2020-12,Zaandam,Woerden,69,7,1,1,32,0.10294117647058823,False
2020-12,Zandvoort aan Zee,Amsterdam Centraal,1087,111,11,3,207,0.10239852398523985,False
2020-12,Zandvoort aan Zee,Haarlem,92,6,0,0,7,0.06521739130434782,False
2020-12,Zutphen,Arnhem Centraal,37,10,0,0,15,0.2702702702702703,True
2020-12,Zutphen,Nijmegen,243,25,3,2,118,0.1037344398340249,False
2020-12,Zutphen,Nijmegen Dukenburg,4,4,0,0,4,1.0,True
2020-12,Zutphen,Roosendaal,30,3,0,0,21,0.1,False
2020-12,Zutphen,Wijchen,676,89,31,5,326,0.13263785394932937,False
2020-12,Zutphen,Zwolle,25,11,0,0,21,0.44,True
2020-12,Zwolle,Amsterdam Centraal,1130,170,40,12,537,0.1520572450805009,False
2020-12,Zwolle,Arnhem Centraal,154,56,1,0,80,0.36363636363636365,True
2020-12,Zwolle,Assen,56,7,1,0,16,0.125,False
2020-12,Zwolle,Den Haag Centraal,91,10,0,0,48,0.10989010989010989,False
2020-12,Zwolle,Groningen,906,124,20,10,289,0.13839285714285715,False
2020-12,Zwolle,Leeuwarden,58,9,0,0,14,0.15517241379310345,False
2020-12,Zwolle,Lelystad Centrum,32,4,0,0,7,0.125,False
2020-12,Zwolle,Meppel,383,0,183,183,0,0.0,False
2020-12,Zwolle,Nijmegen,25,3,0,0,18,0.12,False
2020-12,Zwolle,Olst,268,0,135,135,0,0.0,False
2020-12,Zwolle,Roosendaal,885,150,57,7,667,0.17084282460136674,False
2020-12,Zwolle,Rotterdam Centraal,93,9,0,0,39,0.0967741935483871,False
2020-12,Zwolle,Utrecht Centraal,1119,248,4,1,673,0.22182468694096602,True
2021-01,'s-Hertogenbosch,Arnhem Centraal,45,10,1,0,42,0.2222222222222222,True
2021-01,'s-Hertogenbosch,Deurne,914,245,36,6,544,0.2698237885462555,True
2021-01,'s-Hertogenbosch,Dordrecht,51,17,0,0,26,0.3333333333333333,True
2021-01,'s-Hertogenbosch,Eindhoven Centraal,283,66,14,3,126,0.2357142857142857,True
2021-01,'s-Hertogenbosch,Nijmegen,19,9,1,1,16,0.5,True
2021-01,'s-Hertogenbosch,Oss,46,0,5,5,0,0.0,False
2021-01,'s-Hertogenbosch,Roosendaal,37,4,1,0,17,0.10810810810810811,False
2021-01,'s-Hertogenbosch,Utrecht Centraal,584,44,4,4,223,0.07586206896551724,False
2021-01,'s-Hertogenbosch,Woerden,561,65,7,1,314,0.11607142857142858,False
2021-01,'t Harde,Amersfoort Vathorst,71,0,0,0,0,0.0,False
2021-01,'t Harde,Zwolle,71,4,0,0,7,0.056338028169014086,False
2021-01,Alkmaar,Amsterdam Centraal,253,37,8,1,80,0.14682539682539683,False
2021-01,Alkmaar,Den Helder,33,4,1,0,8,0.12121212121212122,False
2021-01,Alkmaar,Haarlem,11,0,0,0,0,0.0,False
2021-01,Alkmaar,Hoorn,51,2,0,0,17,0.0392156862745098,False
2021-01,Alkmaar,Maastricht,488,87,29,5,286,0.18012422360248448,False
2021-01,Alkmaar,Rotterdam Centraal,27,3,2,1,18,0.11538461538461539,False
2021-01,Almelo,Apeldoorn,643,68,17,8,219,0.10708661417322834,False
2021-01,Almelo,Bad Bentheim,7,0,0,0,0,0.0,False
2021-01,Almelo,Deventer,245,20,66,66,37,0.11173184357541899,False
2021-01,Almelo,Enschede,34,1,5,4,2,0.03333333333333333,False
2021-01,Almere Centrum,Amersfoort Centraal,38,4,0,0,6,0.10526315789473684,False
2021-01,Almere Centrum,Amsterdam Centraal,997,175,43,43,175,0.18343815513626835,False
2021-01,Almere Centrum,Den Haag Centraal,15,3,1,0,5,0.2,True
2021-01,Almere Centrum,Lelystad Centrum,8,0,0,0,0,0.0,False
2021-01,Almere Centrum,Utrecht Centraal,898,124,32,15,248,0.1404303510758777,False
2021-01,Almere Oostvaarders,Hoofddorp,1155,111,15,10,405,0.09694323144104804,False
2021-01,Alphen a/d Rijn,Leiden Centraal,19,1,0,0,4,0.05263157894736842,False
2021-01,Amersfoort Centraal,Almere Centrum,37,6,0,0,13,0.16216216216216217,False
2021-01,Amersfoort Centraal,Amsterdam Centraal,1008,134,35,31,218,0.13715455475946775,False
2021-01,Amersfoort Centraal,Berlin Ostbahnhof,13,0,0,0,8,0.0,False
2021-01,Amersfoort Centraal,Den Haag Centraal,67,16,0,0,34,0.23880597014925373,True
2021-01,Amersfoort Centraal,Enschede,6,1,1,0,4,0.16666666666666666,False
2021-01,Amersfoort Centraal,Groningen,37,6,1,1,14,0.16666666666666666,False
2021-01,Amersfoort Centraal,Leeuwarden,36,4,1,0,12,0.1111111111111111,False
2021-01,Amersfoort Centraal,Rotterdam Centraal,66,6,0,0,21,0.09090909090909091,False
2021-01,Amersfoort Centraal,Schiphol Airport,48,3,0,0,9,0.0625,False
2021-01,Amersfoort Centraal,Utrecht Centraal,27,5,1,1,12,0.19230769230769232,True
2021-01,Amersfoort Centraal,Weesp,10,1,0,0,4,0.1,False
2021-01,Amersfoort Centraal,Zwolle,13,3,0,0,3,0.23076923076923078,True
2021-01,Amersfoort Schothorst,Den Haag Centraal,532,51,21,0,209,0.09586466165413533,False
2021-01,Amersfoort Schothorst,Schiphol Airport,528,112,25,1,175,0.2125237191650854,True
2021-01,Amersfoort Schothorst,Utrecht Centraal,31,14,0,0,14,0.45161290322580644,True
2021-01,Amersfoort Vathorst,'t Harde,70,0,0,0,0,0.0,False
2021-01,Amersfoort Vathorst,Amsterdam Centraal,980,121,35,8,472,0.12448559670781893,False
2021-01,Amersfoort Vathorst,Utrecht Centraal,70,13,0,0,23,0.18571428571428572,False
2021-01,Amersfoort Vathorst,Weesp,61,14,0,0,27,0.22950819672131148,True
2021-01,Amsterdam Bijlmer ArenA,Amsterdam Centraal,332,0,164,164,0,0.0,False
2021-01,Amsterdam Bijlmer ArenA,Leiden Centraal,12,3,4,4,3,0.375,True
2021-01,Amsterdam Bijlmer ArenA,Lelystad Centrum,25,6,0,0,9,0.24,True
2021-01,Amsterdam Bijlmer ArenA,Nijmegen,56,9,0,0,22,0.16071428571428573,False
2021-01,Amsterdam Bijlmer ArenA,Rotterdam Centraal,69,3,0,0,19,0.043478260869565216,False
2021-01,Amsterdam Bijlmer ArenA,Schiphol Airport,4,0,0,0,0,0.0,False
2021-01,Amsterdam Bijlmer ArenA,Utrecht Centraal,4,0,0,0,0,0.0,False
2021-01,Amsterdam Bijlmer ArenA,Venlo,61,13,1,0,58,0.21311475409836064,True
2021-01,Amsterdam Centraal,Alkmaar,299,42,2,0,138,0.14046822742474915,False
2021-01,Amsterdam Centraal,Almere Centrum,993,186,48,48,187,0.19682539682539682,True
2021-01,Amsterdam Centraal,Amersfoort Centraal,1067,257,35,30,367,0.24783027965284474,True
2021-01,Amsterdam Centraal,Amersfoort Vathorst,938,256,33,5,602,0.27438370846730975,True
2021-01,Amsterdam Centraal,Amsterdam Bijlmer ArenA,328,0,162,162,0,0.0,False
2021-01,Amsterdam Centraal,Bad Bentheim,25,12,1,1,16,0.5,True
2021-01,Amsterdam Centraal,Basel SBB,27,1,1,1,17,0.038461538461538464,False
2021-01,Amsterdam Centraal,Berlin Ostbahnhof,141,5,5,4,85,0.0364963503649635,False
2021-01,Amsterdam Centraal,Breda,976,310,64,8,455,0.3202479338842975,True
2021-01,Amsterdam Centraal,Brussel-Noord,40,0,0,0,21,0.0,False
2021-01,Amsterdam Centraal,Brussel-Zuid/Midi,365,39,6,6,234,0.10863509749303621,False
2021-01,Amsterdam Centraal,Den Haag Centraal,2065,253,33,15,1093,0.12341463414634146,False
2021-01,Amsterdam Centraal,Den Haag HS,17,11,0,0,13,0.6470588235294118,True
2021-01,Amsterdam Centraal,Den Helder,116,18,0,0,84,0.15517241379310345,False
2021-01,Amsterdam Centraal,Dordrecht,36,6,2,0,27,0.16666666666666666,False
2021-01,Amsterdam Centraal,Enkhuizen,793,30,22,7,235,0.03816793893129771,False
2021-01,Amsterdam Centraal,Frankfurt (M) Hbf,149,15,9,7,68,0.1056338028169014,False
2021-01,Amsterdam Centraal,Groningen,34,21,0,0,27,0.6176470588235294,True
2021-01,Amsterdam Centraal,Haarlem,55,0,3,3,7,0.0,False
2021-01,Amsterdam Centraal,Hannover Hbf,24,0,1,1,19,0.0,False
2021-01,Amsterdam Centraal,Heerhugowaard,9,2,0,0,4,0.2222222222222222,True
2021-01,Amsterdam Centraal,Hilversum,8,1,0,0,2,0.125,False
2021-01,Amsterdam Centraal,Hoofddorp,1169,108,16,16,243,0.09366869037294015,False
2021-01,Amsterdam Centraal,Hoorn,896,72,22,1,623,0.08044692737430167,False
2021-01,Amsterdam Centraal,Köln Hbf,14,6,0,0,10,0.42857142857142855,True
2021-01,Amsterdam Centraal,Leeuwarden,31,14,0,0,20,0.45161290322580644,True
2021-01,Amsterdam Centraal,Lelystad Centrum,152,28,3,0,62,0.18421052631578946,False
2021-01,Amsterdam Centraal,London St. Pancras Int.,34,1,6,0,17,0.029411764705882353,False
2021-01,Amsterdam Centraal,Maastricht,6,2,0,0,3,0.3333333333333333,True
2021-01,Amsterdam Centraal,Nijmegen,18,1,0,0,11,0.05555555555555555,False
2021-01,Amsterdam Centraal,Paris-Nord,29,0,0,0,22,0.0,False
2021-01,Amsterdam Centraal,Roosendaal,64,37,3,0,56,0.578125,True
2021-01,Amsterdam Centraal,Rotterdam Centraal,173,43,4,4,95,0.25443786982248523,True
2021-01,Amsterdam Centraal,Schiphol Airport,13,0,0,0,0,0.0,False
2021-01,Amsterdam Centraal,Uitgeest,109,14,1,1,63,0.12962962962962962,False
2021-01,Amsterdam Centraal,Utrecht Centraal,140,26,8,8,47,0.19696969696969696,True
2021-01,Amsterdam Centraal,Vlissingen,1083,235,39,1,920,0.21719038817005545,True
2021-01,Amsterdam Centraal,Weesp,233,1,97,97,2,0.007352941176470588,False
2021-01,Amsterdam Centraal,Zandvoort aan Zee,1028,169,12,6,443,0.16536203522504891,False
2021-01,Amsterdam Centraal,Zwolle,946,176,22,8,502,0.18763326226012794,True
2021-01,Amsterdam Muiderpoort,Amsterdam Science Park,63,0,14,14,0,0.0,False
2021-01,Amsterdam Muiderpoort,Meppel,24,0,0,0,0,0.0,False
2021-01,Amsterdam Muiderpoort,Zwolle,25,0,0,0,0,0.0,False
2021-01,Amsterdam Science Park,Amsterdam Muiderpoort,87,0,30,30,0,0.0,False
2021-01,Amsterdam Science Park,Zwolle,26,0,0,0,0,0.0,False
2021-01,Amsterdam Sloterdijk,Haarlem,408,0,182,182,0,0.0,False
2021-01,Amsterdam Sloterdijk,Hilversum,4,0,0,0,0,0.0,False
2021-01,Amsterdam Sloterdijk,Hoorn Kersenboogerd,10,2,0,0,2,0.2,True
2021-01,Amsterdam Sloterdijk,Utrecht Centraal,4,0,0,0,0,0.0,False
2021-01,Amsterdam Sloterdijk,Utrecht Overvecht,27,0,0,0,0,0.0,False
2021-01,Amsterdam Zuid,Groningen,6,0,0,0,1,0.0,False
2021-01,Amsterdam Zuid,Leeuwarden,6,0,0,0,3,0.0,False
2021-01,Apeldoorn,Almelo,667,118,19,4,213,0.1779788838612368,False
2021-01,Apeldoorn,Deventer,38,12,0,0,12,0.3157894736842105,True
2021-01,Apeldoorn,Enschede,164,9,6,2,48,0.05555555555555555,False
2021-01,Arnhem Centraal,Amsterdam Bijlmer ArenA,4,0,0,0,1,0.0,False
2021-01,Arnhem Centraal,Dordrecht,767,142,57,11,525,0.18783068783068782,True
2021-01,Arnhem Centraal,Ede-Wageningen,883,162,3,2,224,0.18388195232690124,False
2021-01,Arnhem Centraal,Nijmegen,184,13,1,1,18,0.07103825136612021,False
2021-01,Arnhem Centraal,Roosendaal,54,7,4,2,31,0.1346153846153846,False
2021-01,Arnhem Centraal,Schiphol Airport,56,7,1,0,36,0.125,False
2021-01,Arnhem Centraal,Zwolle,38,11,1,0,29,0.2894736842105263,True
2021-01,Assen,Groningen,20,3,0,0,4,0.15,False
2021-01,Baarn,Hoofddorp,9,0,0,0,6,0.0,False
2021-01,Baarn,Utrecht Centraal,1144,69,20,19,511,0.06133333333333333,False
2021-01,Bad Bentheim,Almelo,7,0,0,0,0,0.0,False
2021-01,Bad Bentheim,Amsterdam Centraal,4,0,0,0,3,0.0,False
2021-01,Bad Bentheim,Deventer,7,0,0,0,0,0.0,False
2021-01,Basel SBB,Amsterdam Centraal,29,9,2,0,27,0.3103448275862069,True
2021-01,Bergen op Zoom,Amsterdam Centraal,60,25,1,0,51,0.4166666666666667,True
2021-01,Berlin Ostbahnhof,Amersfoort Centraal,13,4,0,0,13,0.3076923076923077,True
2021-01,Berlin Ostbahnhof,Amsterdam Centraal,162,52,7,0,155,0.32098765432098764,True
2021-01,Breda,Amsterdam Centraal,976,199,30,20,369,0.20815899581589958,True
2021-01,Breda,Arnhem Centraal,22,8,1,0,20,0.36363636363636365,True
2021-01,Breda,Dordrecht,74,21,4,4,26,0.3,True
2021-01,Breda,Roosendaal,27,4,1,1,5,0.15384615384615385,False
2021-01,Breukelen,Rhenen,1103,174,26,6,456,0.15861440291704648,False
2021-01,Breukelen,Utrecht Centraal,31,2,1,1,3,0.06666666666666667,False
2021-01,Brussel-Noord,Amsterdam Centraal,40,8,0,0,35,0.2,True
2021-01,Brussel-Noord,Den Haag HS,8,1,0,0,8,0.125,False
2021-01,Brussel-Zuid/Midi,Amsterdam Centraal,363,103,20,10,332,0.29178470254957506,True
2021-01,Brussel-Zuid/Midi,Den Haag HS,80,24,6,3,69,0.3116883116883117,True
2021-01,Brussel-Zuid/Midi,Paris-Nord,19,0,0,0,0,0.0,False
2021-01,Brussel-Zuid/Midi,Schiphol Airport,6,1,1,0,4,0.16666666666666666,False
2021-01,Bussum Zuid,Hilversum,23,0,0,0,0,0.0,False
2021-01,Delft,Den Haag HS,13,0,1,0,1,0.0,False
2021-01,Delft,Rotterdam Centraal,16,0,0,0,0,0.0,False
2021-01,Den Haag Centraal,Amersfoort Centraal,99,25,1,0,30,0.25252525252525254,True
2021-01,Den Haag Centraal,Amersfoort Schothorst,531,52,11,1,106,0.09811320754716982,False
2021-01,Den Haag Centraal,Amsterdam Centraal,2039,207,41,19,730,0.10247524752475247,False
2021-01,Den Haag Centraal,Deventer,33,3,2,0,7,0.09090909090909091,False
2021-01,Den Haag Centraal,Dordrecht,1806,208,63,9,665,0.11574846967167501,False
2021-01,Den Haag Centraal,Eindhoven Centraal,1080,377,67,20,611,0.35566037735849054,True
2021-01,Den Haag Centraal,Enschede,554,107,34,3,238,0.19419237749546278,True
2021-01,Den Haag Centraal,Gouda Goverwelle,31,2,0,0,6,0.06451612903225806,False
2021-01,Den Haag Centraal,Groningen,481,129,12,0,276,0.2681912681912682,True
2021-01,Den Haag Centraal,Haarlem,710,128,9,3,223,0.18104667609618105,False
2021-01,Den Haag Centraal,Leeuwarden,471,71,18,3,275,0.1517094017094017,False
2021-01,Den Haag Centraal,Leiden Centraal,13,0,0,0,4,0.0,False
2021-01,Den Haag Centraal,Lelystad Centrum,68,19,2,0,31,0.27941176470588236,True
2021-01,Den Haag Centraal,Schiphol Airport,113,19,2,0,26,0.168141592920354,False
2021-01,Den Haag Centraal,Tiel,1082,193,19,4,887,0.1790352504638219,False
2021-01,Den Haag Centraal,Utrecht Centraal,71,10,0,0,39,0.14084507042253522,False
2021-01,Den Haag Centraal,Woerden,17,2,0,0,9,0.11764705882352941,False
2021-01,Den Haag Centraal,Zwolle,88,11,1,0,36,0.125,False
2021-01,Den Haag HS,Brussel-Noord,8,0,0,0,3,0.0,False
2021-01,Den Haag HS,Brussel-Zuid/Midi,79,5,2,1,42,0.0641025641025641,False
2021-01,Den Haag HS,Delft,16,0,0,0,0,0.0,False
2021-01,Den Haag HS,Eindhoven Centraal,20,8,0,0,15,0.4,True
2021-01,Den Haag HS,Rotterdam Centraal,9,5,1,1,7,0.625,True
2021-01,Den Helder,Alkmaar,9,0,0,0,5,0.0,False
2021-01,Den Helder,Amsterdam Centraal,97,12,0,0,53,0.12371134020618557,False
2021-01,Den Helder,Arnhem Centraal,4,1,0,0,1,0.25,True
2021-01,Den Helder,Maastricht,62,10,2,0,55,0.16129032258064516,False
2021-01,Den Helder,Nijmegen,1044,192,43,1,764,0.1840843720038351,False
2021-01,Deurne,'s-Hertogenbosch,961,183,15,6,507,0.19162303664921465,True
2021-01,Deventer,Almelo,198,10,67,66,14,0.07575757575757576,False
2021-01,Deventer,Apeldoorn,36,4,1,1,4,0.11428571428571428,False
2021-01,Deventer,Bad Bentheim,7,0,0,0,0,0.0,False
2021-01,Deventer,Den Haag Centraal,42,2,2,0,16,0.047619047619047616,False
2021-01,Deventer,Schiphol Airport,5,2,0,0,2,0.4,True
2021-01,Diemen Zuid,Duivendrecht,4,2,0,0,2,0.5,True
2021-01,Dordrecht,'s-Hertogenbosch,124,34,6,1,83,0.2764227642276423,True
2021-01,Dordrecht,Amsterdam Centraal,40,5,6,2,25,0.13157894736842105,False
2021-01,Dordrecht,Arnhem Centraal,653,103,55,9,532,0.15993788819875776,False
2021-01,Dordrecht,Arnhem Zuid,10,8,0,0,9,0.8,True
2021-01,Dordrecht,Breda,45,9,2,2,17,0.20930232558139536,True
2021-01,Dordrecht,Den Haag Centraal,1796,227,32,10,923,0.1270996640537514,False
2021-01,Dordrecht,Eindhoven Centraal,109,27,4,3,65,0.25471698113207547,True
2021-01,Dordrecht,Lage Zwaluwe,4,0,2,2,0,0.0,False
2021-01,Dordrecht,Lelystad Centrum,672,81,78,17,425,0.12366412213740458,False
2021-01,Dordrecht,Nijmegen,386,76,14,2,318,0.19791666666666666,True
2021-01,Dordrecht,Nijmegen Goffert,7,7,0,0,7,1.0,True
2021-01,Dordrecht,Roosendaal,896,541,21,18,555,0.6161731207289294,True
2021-01,Dordrecht,Rotterdam Centraal,31,7,0,0,11,0.22580645161290322,True
2021-01,Dordrecht,Utrecht Centraal,30,15,1,0,21,0.5,True
2021-01,Dordrecht,Venlo,219,46,26,6,187,0.215962441314554,True
2021-01,Dronten,Lelystad Centrum,140,0,69,69,0,0.0,False
2021-01,Dronten,Zwolle,68,5,2,2,6,0.07575757575757576,False
2021-01,Ede-Wageningen,Arnhem Centraal,832,241,2,2,314,0.29036144578313255,True
2021-01,Eindhoven Centraal,'s-Hertogenbosch,228,46,5,2,76,0.20353982300884957,True
2021-01,Eindhoven Centraal,Den Haag Centraal,1106,268,74,32,677,0.24953445065176907,True
2021-01,Eindhoven Centraal,Deurne,25,6,1,1,8,0.25,True
2021-01,Eindhoven Centraal,Dordrecht,80,20,4,4,38,0.2631578947368421,True
2021-01,Eindhoven Centraal,Enkhuizen,54,8,0,0,39,0.14814814814814814,False
2021-01,Eindhoven Centraal,Helmond,24,0,4,4,0,0.0,False
2021-01,Eindhoven Centraal,Maastricht,37,10,1,1,13,0.2777777777777778,True
2021-01,Eindhoven Centraal,Roermond,6,3,0,0,4,0.5,True
2021-01,Eindhoven Centraal,Rotterdam Centraal,31,11,2,2,17,0.3793103448275862,True
2021-01,Eindhoven Centraal,Schiphol Airport,24,6,0,0,12,0.25,True
2021-01,Eindhoven Centraal,Tilburg Universiteit,1026,289,20,8,339,0.28388998035363455,True
2021-01,Eindhoven Centraal,Venlo,115,48,3,2,108,0.4247787610619469,True
2021-01,Eindhoven Centraal,Weert,940,200,10,10,235,0.21505376344086022,True
2021-01,Enkhuizen,Alkmaar,8,1,0,0,2,0.125,False
2021-01,Enkhuizen,Amsterdam Centraal,832,143,21,7,325,0.17333333333333334,False
2021-01,Enkhuizen,Eindhoven Centraal,59,18,2,1,44,0.3103448275862069,True
2021-01,Enkhuizen,Hoofddorp,20,7,0,0,19,0.35,True
2021-01,Enkhuizen,Maastricht,283,74,25,4,194,0.26523297491039427,True
2021-01,Enkhuizen,Roermond,7,6,0,0,7,0.8571428571428571,True
2021-01,Enschede,Almelo,34,2,4,4,4,0.06666666666666667,False
2021-01,Enschede,Apeldoorn,188,30,12,2,95,0.16129032258064516,False
2021-01,Enschede,Den Haag Centraal,553,59,47,5,259,0.10766423357664233,False
2021-01,Enschede,Schiphol Airport,540,109,44,0,264,0.20185185185185187,True
2021-01,Enschede,Utrecht Centraal,21,8,0,0,14,0.38095238095238093,True
2021-01,Frankfurt (M) Hbf,Amsterdam Centraal,160,54,10,0,144,0.3375,True
2021-01,Frankfurt (M) Hbf,Utrecht Centraal,11,2,0,0,10,0.18181818181818182,False
2021-01,Gouda Goverwelle,Den Haag Centraal,57,12,2,1,21,0.21428571428571427,True
2021-01,Groningen,Amersfoort Centraal,35,6,3,0,12,0.17142857142857143,False
2021-01,Groningen,Amsterdam Centraal,39,6,1,0,25,0.15384615384615385,False
2021-01,Groningen,Amsterdam Zuid,5,2,0,0,3,0.4,True
2021-01,Groningen,Assen,40,5,0,0,7,0.125,False
2021-01,Groningen,Den Haag Centraal,470,80,14,2,265,0.17094017094017094,False
2021-01,Groningen,Leiden Centraal,20,3,0,0,13,0.15,False
2021-01,Groningen,Meppel,133,9,1,0,23,0.06766917293233082,False
2021-01,Groningen,Rotterdam Centraal,492,49,20,1,289,0.09979633401221996,False
2021-01,Groningen,Zwolle,922,129,43,4,275,0.14052287581699346,False
2021-01,Haarlem,Alkmaar,13,1,0,0,5,0.07692307692307693,False
2021-01,Haarlem,Amsterdam Centraal,48,3,4,4,5,0.06818181818181818,False
2021-01,Haarlem,Amsterdam Sloterdijk,369,0,117,117,0,0.0,False
2021-01,Haarlem,Den Haag Centraal,655,119,9,5,365,0.18307692307692308,False
2021-01,Haarlem,Den Haag HS,31,13,0,0,20,0.41935483870967744,True
2021-01,Haarlem,Hoorn,58,5,1,0,41,0.08620689655172414,False
2021-01,Haarlem,Leiden Centraal,595,139,7,7,199,0.23639455782312926,True
2021-01,Haarlem,Zandvoort aan Zee,161,29,3,3,30,0.18354430379746836,False
2021-01,Hannover Hbf,Amsterdam Centraal,24,10,1,0,24,0.4166666666666667,True
2021-01,Heerlen,Sittard,1004,234,6,6,234,0.23446893787575152,True
2021-01,Helmond,Eindhoven Centraal,26,0,7,7,0,0.0,False
2021-01,Hilversum,Amersfoort Centraal,23,1,0,0,1,0.043478260869565216,False
2021-01,Hilversum,Bussum Zuid,22,0,0,0,0,0.0,False
2021-01,Hilversum,Hoofddorp,31,1,0,0,17,0.03225806451612903,False
2021-01,Hilversum,Schiphol Airport,34,0,0,0,1,0.0,False
2021-01,Hilversum,Utrecht Centraal,174,26,7,7,67,0.15568862275449102,False
2021-01,Hilversum,Utrecht Overvecht,157,0,92,92,0,0.0,False
2021-01,Hoofddorp,Almere Oostvaarders,1083,99,13,8,573,0.09209302325581395,False
2021-01,Hoofddorp,Amsterdam Centraal,1184,82,18,18,297,0.07032590051457976,False
2021-01,Hoofddorp,Baarn,8,2,0,0,4,0.25,True
2021-01,Hoofddorp,Enkhuizen,31,4,0,0,28,0.12903225806451613,False
2021-01,Hoofddorp,Hilversum,31,2,0,0,10,0.06451612903225806,False
2021-01,Hoofddorp,Hoorn,31,6,0,0,15,0.1935483870967742,True
2021-01,Hoofddorp,Hoorn Kersenboogerd,217,41,3,1,114,0.18981481481481483,True
