YearMonth,source,target,CN,SA,JA,SO,HPI,HDI,LHNI,PA,AA,RA,LPI,weighted_CN,weighted_SA,weighted_JA,weighted_SO,weighted_HPI,weighted_HDI,weighted_LHNI,weighted_PA,weighted_AA,weighted_RA,weighted_LPI,distance,source_closeness,target_closeness,source_degree,target_degree,source_strength,target_strength,Proportion delayed,Significant Delay,Rides planned,Final arrival delay,Final arrival cancelled,Completely cancelled,Intermediate arrival delays
2019-01,'s-Hertogenbosch,Arnhem Centraal,5,0.4029114820126901,0.25,0.4,0.45454545454545453,0.35714285714285715,0.032467532467532464,154,1.8831382928637472,0.3589035964035964,1.3141200596529194,1310,0.5596428191697037,65.5,0.5591122492530943,0.5845604640785363,0.5357873210633947,0.00023908403438794944,5479245,0.6017669674357673,0.0013451177846267627,0.07971448342937432,62.0,0.008753395713854513,0.007793603869927439,0.12643678160919541,0.16091954022988506,2445,2241,0.3508771929824561,True,57,20,4,0,36
2019-01,'s-Hertogenbosch,Den Haag Centraal,4,0.2842676218074806,0.16,0.27586206896551724,0.36363636363636365,0.2222222222222222,0.020202020202020204,198,1.4010807926051045,0.23466117216117216,0.9545798388054789,4320,0.8354396139371005,172.8,0.6456916523428742,1.7668711656441718,0.3950256035113387,0.00016156466401281747,26738520,0.4667485408795727,0.0007872558608877425,0.0554721352685905,108.0,0.008753395713854513,0.008212195582405135,0.12643678160919541,0.20689655172413793,2445,10936,0.0899182561307901,False,1106,99,20,5,853
2019-01,'s-Hertogenbosch,Deurne,1,0.17407765595569785,0.07692307692307693,0.14285714285714285,0.3333333333333333,0.09090909090909091,0.030303030303030304,33,0.36926937306885504,0.06666666666666667,0.2581988897471611,227,0.1466470691195322,17.46153846153846,0.13255474452554744,0.2316326530612245,0.09284253578732106,9.473728141563374e-05,2396100,0.12109230057829785,0.0002591344908007256,0.0160976548230084,54.0,0.008753395713854513,0.006397999705839094,0.12643678160919541,0.034482758620689655,2445,980,0.3271523178807947,True,757,247,8,2,503
2019-01,'s-Hertogenbosch,Dordrecht,6,0.45226701686664544,0.2857142857142857,0.4444444444444444,0.5454545454545454,0.375,0.03409090909090909,176,2.855734910974335,0.7178932178932178,1.9562517718393289,5083,1.4501490583756198,242.04761904761904,1.3609103078982596,2.0789366053169736,1.0115422885572138,0.00041371872742626336,12286125,0.8934104042510772,0.029391579156934182,0.2537909507680053,73.0,0.008753395713854513,0.0076834761105714034,0.12643678160919541,0.1839080459770115,2445,5025,0.23,True,100,23,3,0,44
2019-01,'s-Hertogenbosch,Eindhoven Centraal,4,0.3113995776646092,0.18181818181818182,0.3076923076923077,0.36363636363636365,0.26666666666666666,0.024242424242424242,165,1.898155657173,0.4799603174603174,1.2320833805308449,3222,1.0489353338701077,146.45454545454547,1.0222081218274113,1.3177914110429447,0.8349313293599379,0.00034148520628218316,9435255,0.47958838260086156,0.0014192200933998646,0.06602311677575692,32.0,0.008753395713854513,0.007404255319148936,0.12643678160919541,0.1724137931034483,2445,3859,0.31640625,True,257,81,1,1,138
2019-01,'s-Hertogenbosch,Roosendaal,4,0.38138503569823695,0.23529411764705882,0.38095238095238093,0.4,0.36363636363636365,0.03636363636363636,110,2.0397074137903095,0.5441849816849816,1.3719616092146647,2127,0.923204996865749,125.11764705882354,0.92157712305026,0.9797328420082911,0.8699386503067484,0.0004007087288377469,5308095,0.6448055467241844,0.028643762666670545,0.21675539719819878,67.0,0.008753395713854513,0.006526631657914479,0.12643678160919541,0.11494252873563218,2445,2171,0.2727272727272727,True,34,9,3,1,15
2019-01,'s-Hertogenbosch,Tilburg,2,0.3481553119113957,0.16666666666666666,0.2857142857142857,0.6666666666666666,0.18181818181818182,0.06060606060606061,33,0.7949682421254927,0.1625,0.566227766016838,222,0.748276820708084,18.5,0.17896009673518742,6.166666666666667,0.09079754601226994,0.0025221540558963873,88020,0.247499311418253,0.000659622202208671,0.035568907263688304,22.0,0.008753395713854513,0.007685512367491166,0.12643678160919541,0.034482758620689655,2445,36,0.1428571428571428,False,7,1,0,0,1
2019-01,'s-Hertogenbosch,Utrecht Centraal,5,0.2548235957188128,0.12195121951219512,0.21739130434782608,0.45454545454545453,0.14285714285714285,0.012987012987012988,385,1.901072447695526,0.36148296148296155,1.3400238347454798,3573,0.75221119309609,87.14634146341463,0.6121819583654587,1.4613496932515337,0.38719115734720416,0.00015836039155304874,22562460,0.6029829661063928,0.0013739347039484913,0.08051996568503315,48.0,0.008753395713854513,0.010578793774319067,0.12643678160919541,0.40229885057471265,2445,9228,0.425,True,40,17,0,0,33
2019-01,'s-Hertogenbosch,Vught,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,0.008753395713854513,0.008467153284671533,0.12643678160919541,0.022988505747126436,2445,22,0.0,False,11,0,11,0,0
2019-01,'s-Hertogenbosch,Zwolle,5,0.4181210050035454,0.2631578947368421,0.4166666666666667,0.45454545454545453,0.38461538461538464,0.03496503496503497,143,1.857492725341371,0.3464646464646465,1.2897334638482452,3491,1.0489657690637681,183.73684210526315,1.0010035842293907,1.4278118609406953,0.7706401766004415,0.00031519025627829917,11075850,0.6027918441492384,0.0014630327314419382,0.08143652087652944,135.0,0.008753395713854513,0.006342032366234145,0.12643678160919541,0.14942528735632182,2445,4530,0.1428571428571428,False,7,1,0,0,4
2019-01,Alkmaar,Amsterdam Centraal,8,0.42761798705987897,0.21621621621621623,0.35555555555555557,0.8,0.22857142857142856,0.022857142857142857,350,3.957461005597271,1.062034207622443,2.8726083429776152,3490,0.8780010077390823,94.32432432432432,0.43968503937007875,3.2708528584817245,0.2356834143706105,0.0002208841746678636,15800136,1.0883402256210721,0.00555306421510118,0.20565783559895082,39.0,0.007396701241285495,0.009620701094769434,0.11494252873563218,0.40229885057471265,1067,14808,0.162037037037037,False,217,35,3,1,121
